ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
3,12,62.0,29.0,0,12,14
3,13,40.0,35.0,0,13,15
3,14,29.0,37.0,0,14,16
3,15,85.0,37.0,0,15,17
3,16,10.0,38.0,0,16,18
3,17,19.0,38.0,0,17,19
3,18,26.0,47.0,0,18,20
3,19,92.0,48.0,0,19,21
3,20,42.0,50.0,0,20,22
3,21,66.0,51.0,0,21,23
3,22,14.0,54.0,0,22,24
3,23,33.0,55.0,0,23,25
3,24,25.0,59.0,0,24,26
3,25,28.0,72.0,0,25,28
3,26,68.0,72.0,0,26,29
3,27,44.0,75.0,0,27,31
3,28,51.0,75.0,0,28,32
3,29,91.0,78.0,0,29,34
3,30,6.0,79.0,0,30,33
3,31,37.0,80.0,0,31,35
3,32,52.0,87.0,0,32,36
3,33,58.0,87.0,0,33,37
3,34,32.0,89.0,0,34,38
3,35,92.0,93.0,0,35,39
4,1,55.0,8.0,0,1,2
4,2,82.0,10.0,0,2,3
4,3,41.0,14.0,0,3,5
4,4,15.0,19.0,0,4,6
4,5,72.0,21.0,0,5,7
4,6,81.0,32.0,0,6,11
4,7,41.0,33.0,0,7,12
4,8,56.0,36.0,0,8,14
4,9,33.0,45.0,0,9,16
4,10,62.0,48.0,0,10,19
4,11,89.0,55.0,0,11,23
4,12,72.0,56.0,0,12,24
4,13,27.0,66.0,0,13,28
4,14,54.0,67.0,0,14,27
4,15,34.0,74.0,0,15,31
4,16,69.0,76.0,0,16,32
4,17,10.0,78.0,0,17,33
4,18,21.0,83.0,0,18,34
4,19,51.0,84.0,0,19,37
4,20,21.0,92.0,0,20,39
4,21,38.0,93.0,0,21,40
5,1,8.0,6.0,0,1,1
5,2,19.0,12.0,0,2,4
5,3,14.0,14.0,0,3,5
5,4,67.0,14.0,0,4,6
5,5,6.0,20.0,0,5,7
5,6,23.0,20.0,0,6,8
5,7,37.0,23.0,0,7,9
5,8,52.0,25.0,0,8,11
5,9,89.0,26.0,0,9,12
5,10,13.0,28.0,0,10,13
5,11,21.0,30.0,0,11,14
5,12,34.0,35.0,0,12,15
5,13,62.0,35.0,0,13,16
5,14,9.0,39.0,0,14,17
5,15,46.0,40.0,0,15,19
5,16,80.0,42.0,0,16,20
5,17,20.0,53.0,0,17,22
5,18,84.0,53.0,0,18,23
5,19,10.0,57.0,0,19,25
5,20,48.0,63.0,0,20,26
5,21,17.0,68.0,0,21,27
5,22,39.0,69.0,0,22,28
5,23,59.0,69.0,0,23,29
5,24,28.0,71.0,0,24,31
5,25,72.0,73.0,0,25,32
5,26,51.0,77.0,0,26,33
5,27,19.0,80.0,0,27,35
5,28,44.0,82.0,0,28,36
5,29,33.0,83.0,0,29,37
5,30,80.0,84.0,0,30,38
5,31,10.0,86.0,0,31,39
5,32,58.0,86.0,0,32,40
5,33,70.0,89.0,0,33,41
5,34,33.0,92.0,0,34,42
5,35,44.0,92.0,0,35,43
6,1,33.0,6.0,0,1,1
6,2,10.1,7.95,0,2,2
6,3,15.0,10.0,0,3,3
6,4,6.090909090909091,10.909090909090908,0,4,4
6,5,48.0,11.0,0,5,5
6,6,64.0,13.0,0,6,6
6,7,82.0,13.0,0,7,7
6,8,28.0,16.0,0,8,9
6,9,53.0,24.0,0,9,11
6,10,19.0,25.0,0,10,12
6,11,39.0,25.0,0,11,13
6,12,61.0,29.0,0,12,15
6,13,84.0,29.0,0,13,16
6,14,33.0,36.0,0,14,18
6,15,79.0,38.0,0,15,21
6,16,5.0,39.0,0,16,22
6,17,67.0,39.0,0,17,20
6,18,40.0,45.0,0,18,24
6,19,13.0,47.0,0,19,25
6,20,75.0,49.0,0,20,26
6,21,40.0,56.0,0,21,28
6,22,87.0,61.0,0,22,29
6,23,47.0,66.0,0,23,32
6,24,60.0,71.0,0,24,33
6,25,85.0,74.0,0,25,35
6,26,48.0,77.0,0,26,36
6,27,16.0,82.0,0,27,40
6,28,53.0,83.0,0,28,41
6,29,88.0,87.0,0,29,43
6,30,17.0,93.0,0,30,44
7,1,14.0,11.0,0,1,3
7,2,87.0,12.0,0,2,6
7,3,57.0,14.0,0,3,8
7,4,22.0,16.0,0,4,7
7,5,32.0,22.0,0,5,9
7,6,61.0,31.0,0,6,12
7,7,89.0,33.0,0,7,13
7,8,9.0,34.0,0,8,14
7,9,19.0,37.0,0,9,16
7,10,60.0,40.0,0,10,17
7,11,28.0,42.0,0,11,18
7,12,6.0,43.0,0,12,19
7,13,22.0,54.0,0,13,23
7,14,86.0,58.0,0,14,25
7,15,66.0,63.0,0,15,26
7,16,45.0,69.0,0,16,28
7,17,80.0,69.0,0,17,29
7,18,9.0,74.0,0,18,30
7,19,21.0,75.0,0,19,31
7,20,60.0,76.0,0,20,32
7,21,47.0,82.0,0,21,33
7,22,74.0,85.0,0,22,35
7,23,51.0,92.0,0,23,36
7,24,65.0,92.0,0,24,37
8,1,53.0,6.0,0,1,1
8,2,13.0,7.0,0,2,2
8,3,62.0,12.0,0,3,3
8,4,26.0,14.0,0,4,7
8,5,54.0,15.0,0,5,5
8,6,88.0,18.0,0,6,9
8,7,13.0,19.0,0,7,10
8,8,13.0,27.0,0,8,13
8,9,34.0,27.0,0,9,12
8,10,24.0,28.0,0,10,14
8,11,92.0,29.0,0,11,16
8,12,70.0,32.0,0,12,17
8,13,44.0,37.0,0,13,18
8,14,92.0,38.0,0,14,19
8,15,15.0,46.0,0,15,20
8,16,38.0,48.0,0,16,22
8,17,26.0,50.0,0,17,24
8,18,93.0,52.0,0,18,25
8,19,70.0,54.0,0,19,26
8,20,53.0,55.0,0,20,27
8,21,75.0,56.0,0,21,28
8,22,66.3125,56.6875,0,22,29
8,23,38.0,61.0,0,23,30
8,24,88.0,62.0,0,24,31
8,25,12.0,63.0,0,25,32
8,26,59.0,65.0,0,26,34
8,27,79.0,71.0,0,27,35
8,28,31.0,73.0,0,28,36
8,29,8.0,75.0,0,29,37
8,30,52.0,75.0,0,30,40
8,31,17.0,76.0,0,31,38
8,32,42.0,76.0,0,32,39
8,33,27.0,80.0,0,33,42
8,34,92.0,82.0,0,34,43
8,35,51.0,84.0,0,35,44
8,36,64.0,85.0,0,36,45
8,37,6.0,89.0,0,37,46
8,38,17.0,89.0,0,38,47
8,39,53.0,92.0,0,39,48
8,40,73.0,92.0,0,40,49
9,1,64.0,6.0,0,1,1
9,2,5.0,11.0,0,2,3
9,3,67.0,19.0,0,3,4
9,4,89.0,25.0,0,4,6
9,5,35.0,29.0,0,5,8
9,6,47.0,36.0,0,6,9
9,7,53.0,41.0,0,7,12
9,8,67.0,48.0,0,8,15
9,9,41.0,50.0,0,9,16
9,10,58.0,57.0,0,10,18
9,11,91.0,59.0,0,11,19
9,12,10.0,65.0,0,12,21
9,13,52.0,71.0,0,13,22
9,14,64.0,71.0,0,14,23
9,15,75.0,76.0,0,15,25
9,16,86.0,76.0,0,16,26
9,17,48.0,81.0,0,17,27
9,18,82.0,89.0,0,18,29
9,19,34.0,91.0,0,19,30
9,20,67.0,93.0,0,20,31
10,1,67.0,7.0,0,1,1
10,2,29.0,11.0,0,2,2
10,3,87.0,17.0,0,3,3
10,4,63.0,20.0,0,4,4
10,5,48.0,24.0,0,5,6
10,6,90.0,35.0,0,6,7
10,7,76.0,38.0,0,7,8
10,8,53.0,39.0,0,8,9
10,9,84.0,55.0,0,9,13
10,10,57.0,63.0,0,10,16
10,11,29.0,66.0,0,11,17
10,12,6.0,75.0,0,12,18
10,13,92.0,77.0,0,13,19
10,14,85.0,89.0,0,14,21
11,1,22.0,13.0,0,1,3
11,2,49.0,14.0,0,2,4
11,3,67.0,19.0,0,3,5
11,4,32.0,30.0,0,4,7
11,5,59.0,32.0,0,5,8
11,6,48.0,34.0,0,6,11
11,7,19.0,39.0,0,7,13
11,8,91.0,40.0,0,8,12
11,9,38.0,41.0,0,9,14
11,10,44.0,67.0,0,10,18
11,11,15.0,70.0,0,11,19
11,12,31.0,80.0,0,12,21
11,13,63.0,85.0,0,13,23
11,14,10.0,87.0,0,14,24
11,15,78.0,87.0,0,15,25
11,16,21.0,94.0,0,16,26
12,1,74.0,6.0,0,1,1
12,2,10.0,16.0,0,2,2
12,3,32.0,18.0,0,3,3
12,4,60.0,19.0,0,4,5
12,5,45.0,23.0,0,5,6
12,6,13.0,30.0,0,6,8
12,7,43.0,36.0,0,7,10
12,8,74.0,36.0,0,8,11
12,9,85.0,38.0,0,9,12
12,10,51.0,49.0,0,10,14
12,11,67.0,49.0,0,11,15
12,12,46.0,53.0,0,12,16
12,13,36.0,54.0,0,13,17
12,14,88.0,55.0,0,14,18
12,15,57.0,59.0,0,15,19
12,16,70.0,60.0,0,16,20
12,17,24.0,62.0,0,17,22
12,18,15.0,67.0,0,18,23
12,19,33.0,68.0,0,19,24
12,20,63.0,70.0,0,20,25
12,21,92.0,72.0,0,21,26
12,22,71.0,73.0,0,22,27
12,23,24.0,80.0,0,23,29
12,24,49.0,81.0,0,24,31
12,25,37.0,82.0,0,25,30
12,26,86.0,88.0,0,26,33
12,27,67.0,89.0,0,27,35
12,28,13.0,92.0,0,28,36
13,1,17.0,8.0,0,1,2
13,2,54.0,10.0,0,2,3
13,3,30.0,11.0,0,3,4
13,4,84.0,14.0,0,4,5
13,5,47.0,15.0,0,5,6
13,6,5.0,16.0,0,6,7
13,7,78.0,23.0,0,7,8
13,8,87.0,23.0,0,8,9
13,9,57.0,25.0,0,9,10
13,10,69.0,27.0,0,10,11
13,11,12.0,29.0,0,11,12
13,12,46.0,34.0,0,12,14
13,13,90.0,34.0,0,13,15
13,14,56.0,38.0,0,14,17
13,15,12.0,43.0,0,15,18
13,16,28.0,43.0,0,16,19
13,17,69.0,50.0,0,17,21
13,18,14.0,59.0,0,18,23
13,19,57.0,60.0,0,19,24
13,20,32.0,61.0,0,20,25
13,21,92.0,69.0,0,21,27
13,22,26.0,73.0,0,22,30
13,23,39.0,73.0,0,23,31
13,24,17.0,79.0,0,24,33
13,25,30.0,84.0,0,25,34
13,26,12.0,90.0,0,26,36
13,27,64.0,91.0,0,27,37
13,28,73.0,93.0,0,28,39
14,1,74.0,12.0,0,1,2
14,2,46.0,15.0,0,2,3
14,3,62.0,23.0,0,3,4
14,4,32.0,25.0,0,4,5
14,5,8.0,27.0,0,5,6
14,6,84.0,29.0,0,6,7
14,7,37.0,35.0,0,7,8
14,8,53.0,37.0,0,8,9
14,9,66.0,37.0,0,9,10
14,10,17.0,40.0,0,10,11
14,11,27.0,40.0,0,11,12
14,12,47.0,48.0,0,12,14
14,13,11.0,54.0,0,13,18
14,14,25.0,54.0,0,14,16
14,15,42.0,55.0,0,15,19
14,16,69.0,60.0,0,16,20
14,17,44.0,64.0,0,17,21
14,18,30.0,67.0,0,18,22
14,19,71.0,71.0,0,19,24
14,20,22.0,75.0,0,20,25
14,21,53.0,76.0,0,21,26
14,22,65.0,78.0,0,22,28
14,23,39.0,86.0,0,23,30
14,24,88.0,89.0,0,24,31
14,25,6.0,92.0,0,25,32
15,1,37.0,7.0,0,1,1
15,2,66.0,7.0,0,2,3
15,3,13.0,11.0,0,3,4
15,4,47.0,12.0,0,4,5
15,5,23.0,17.0,0,5,6
15,6,5.0,20.0,0,6,7
15,7,83.0,26.0,0,7,8
15,8,74.0,31.0,0,8,9
15,9,62.0,32.0,0,9,10
15,10,85.0,37.0,0,10,12
15,11,50.0,38.0,0,11,14
15,12,42.0,39.0,0,12,13
15,13,33.0,44.0,0,13,15
15,14,40.0,57.0,0,14,20
15,15,32.0,67.0,0,15,22
15,16,26.0,74.0,0,16,23
15,17,34.0,86.0,0,17,25
16,1,71.0,6.0,0,1,1
16,2,48.0,7.0,0,2,2
16,3,37.09090909090909,12.090909090909092,0,3,3
16,4,41.07692307692308,13.846153846153847,0,4,4
16,5,5.0,16.0,0,5,6
16,6,83.0,20.0,0,6,7
16,7,71.0,21.0,0,7,9
16,8,37.0,32.0,0,8,11
16,9,46.0,34.0,0,9,12
16,10,31.0,38.0,0,10,15
16,11,41.0,47.0,0,11,16
16,12,29.0,50.0,0,12,17
16,13,80.0,55.0,0,13,18
16,14,92.0,56.0,0,14,19
16,15,62.0,57.0,0,15,20
16,16,18.0,60.0,0,16,21
16,17,50.0,64.0,0,17,22
16,18,15.0,69.0,0,18,23
16,19,38.0,70.0,0,19,25
16,20,32.0,75.0,0,20,26
16,21,46.0,79.0,0,21,27
16,22,23.0,84.0,0,22,28
16,23,61.0,86.0,0,23,29
16,24,30.0,87.0,0,24,30
16,25,23.0,93.0,0,25,31
17,1,15.0,8.0,0,1,1
17,2,57.0,10.0,0,2,3
17,3,40.0,12.0,0,3,5
17,4,28.0,18.0,0,4,6
17,5,47.0,24.0,0,5,8
17,6,81.0,27.0,0,6,10
17,7,20.0,29.0,0,7,11
17,8,77.0,33.0,0,8,13
17,9,41.0,35.0,0,9,14
17,10,62.0,36.0,0,10,15
17,11,15.0,43.0,0,11,17
17,12,75.0,52.0,0,12,19
17,13,45.0,54.0,0,13,21
17,14,35.0,55.0,0,14,22
17,15,24.0,68.0,0,15,24
17,16,62.0,72.0,0,16,25
17,17,37.0,73.0,0,17,26
17,18,70.0,73.0,0,18,27
17,19,79.0,73.0,0,19,28
17,20,6.0,79.0,0,20,29
17,21,12.0,86.0,0,21,31
17,22,64.0,86.0,0,22,30
17,23,78.0,88.0,0,23,32
18,1,80.0,6.0,0,1,1
18,2,17.0,9.0,0,2,3
18,3,51.0,9.0,0,3,2
18,4,58.0,9.0,0,4,4
18,5,24.0,15.0,0,5,6
18,6,78.0,15.0,0,6,5
18,7,36.0,21.0,0,7,7
18,8,51.0,21.0,0,8,8
18,9,46.0,22.0,0,9,9
18,10,66.0,25.0,0,10,10
18,11,4.0,27.0,0,11,11
18,12,90.0,32.0,0,12,13
18,13,61.0,37.0,0,13,15
18,14,38.0,38.0,0,14,16
18,15,87.0,45.0,0,15,17
18,16,16.0,47.0,0,16,18
18,17,77.0,48.0,0,17,19
18,18,5.0,50.0,0,18,20
18,19,24.0,51.0,0,19,21
18,20,48.0,52.0,0,20,22
18,21,59.0,57.0,0,21,24
18,22,18.0,58.0,0,22,25
18,23,37.0,58.0,0,23,23
18,24,69.0,58.0,0,24,26
18,25,81.0,58.0,0,25,27
18,26,31.0,65.0,0,26,29
18,27,41.0,66.0,0,27,30
18,28,53.0,66.0,0,28,31
18,29,76.0,73.0,0,29,33
18,30,86.0,76.0,0,30,34
18,31,91.0,78.0,0,31,36
18,32,56.0,83.0,0,32,37
18,33,35.0,86.0,0,33,38
18,34,19.0,88.0,0,34,39
18,35,5.0,89.0,0,35,40
18,36,81.0,90.0,0,36,41
18,37,52.0,92.0,0,37,43
18,38,60.0,92.0,0,38,44
18,39,41.0,93.0,0,39,42
18,40,90.0,93.0,0,40,45
19,1,25.0,6.0,0,1,2
19,2,61.0,6.0,0,2,1
19,3,74.0,9.0,0,3,4
19,4,35.0,10.0,0,4,5
19,5,43.0,11.0,0,5,6
19,6,58.0,14.0,0,6,7
19,7,10.0,17.0,0,7,8
19,8,42.0,22.0,0,8,11
19,9,20.0,23.0,0,9,12
19,10,34.0,25.0,0,10,13
19,11,5.0,27.0,0,11,14
19,12,19.0,28.0,0,12,16
19,13,49.0,30.0,0,13,17
19,14,13.0,35.0,0,14,19
19,15,34.0,35.0,0,15,20
19,16,25.0,36.0,0,16,21
19,17,74.0,37.0,0,17,22
19,18,44.0,41.0,0,18,23
19,19,31.0,45.0,0,19,24
19,20,91.0,45.0,0,20,25
19,21,60.0,48.0,0,21,26
19,22,78.0,49.0,0,22,27
19,23,50.0,53.0,0,23,28
19,24,26.0,57.0,0,24,30
19,25,69.0,58.0,0,25,32
19,26,49.0,64.0,0,26,34
19,27,82.0,66.0,0,27,35
19,28,89.0,67.0,0,28,37
19,29,37.0,69.0,0,29,38
19,30,72.0,69.0,0,30,39
19,31,63.0,71.0,0,31,41
19,32,58.0,74.0,0,32,42
19,33,75.9,74.95,0,33,43
19,34,79.27777777777777,77.16666666666667,0,34,44
19,35,5.0,78.0,0,35,45
19,36,84.0,78.0,0,36,46
19,37,36.2,79.0,0,37,47
19,38,40.0,81.0,0,38,48
19,39,71.0,82.0,0,39,49
19,40,52.0,85.0,0,40,50
19,41,62.0,89.0,0,41,52
19,42,5.0,91.0,0,42,53
19,43,81.0,91.0,0,43,54
19,44,87.0,93.0,0,44,55
20,1,84.0,8.0,0,1,3
20,2,14.0,15.0,0,2,6
20,3,64.0,15.0,0,3,9
20,4,50.0,16.0,0,4,8
20,5,90.0,22.0,0,5,10
20,6,17.0,26.0,0,6,12
20,7,46.0,26.0,0,7,11
20,8,33.0,29.0,0,8,13
20,9,54.0,30.0,0,9,14
20,10,63.0,30.0,0,10,15
20,11,9.0,34.0,0,11,16
20,12,55.0,35.0,0,12,18
20,13,36.0,37.0,0,13,17
20,14,24.0,38.0,0,14,19
20,15,8.0,40.0,0,15,21
20,16,54.0,43.0,0,16,24
20,17,67.0,47.0,0,17,25
20,18,83.0,47.0,0,18,26
20,19,46.0,48.0,0,19,28
20,20,14.0,49.0,0,20,27
20,21,8.0,53.0,0,21,29
20,22,46.0,60.0,0,22,31
20,23,58.0,60.0,0,23,32
20,24,21.0,71.0,0,24,35
20,25,93.0,72.0,0,25,37
20,26,69.0,73.0,0,26,36
20,27,9.0,74.0,0,27,38
20,28,89.9,74.05,0,28,39
20,29,72.0,82.0,0,29,40
20,30,91.0,87.0,0,30,42
20,31,71.0,92.0,0,31,43
20,32,53.0,93.0,0,32,44
21,1,14.0,7.0,0,1,2
21,2,87.0,8.0,0,2,3
21,3,6.0,12.0,0,3,4
21,4,56.0,14.0,0,4,7
21,5,45.0,15.0,0,5,6
21,6,83.0,19.0,0,6,8
21,7,51.0,22.0,0,7,9
21,8,7.0,23.0,0,8,10
21,9,25.0,24.0,0,9,11
21,10,81.0,28.0,0,10,13
21,11,21.0,29.0,0,11,14
21,12,67.0,30.0,0,12,15
21,13,81.0,35.0,0,13,17
21,14,39.0,36.0,0,14,19
21,15,10.0,37.0,0,15,18
21,16,71.0,41.0,0,16,20
21,17,92.0,43.0,0,17,21
21,18,44.0,45.0,0,18,22
21,19,12.0,50.0,0,19,23
21,20,17.0,50.0,0,20,25
21,21,44.0,53.0,0,21,27
21,22,7.0,56.0,0,22,28
21,23,71.0,58.0,0,23,29
21,24,61.0,60.0,0,24,30
21,25,36.0,63.0,0,25,31
21,26,44.0,65.0,0,26,32
21,27,86.0,65.0,0,27,33
21,28,51.0,66.0,0,28,34
21,29,61.0,68.0,0,29,35
21,30,20.0,70.83333333333333,0,30,36
21,31,9.0,73.0,0,31,37
21,32,20.0,74.73333333333333,0,32,38
21,33,67.0,76.0,0,33,39
21,34,77.0,76.0,0,34,40
21,35,36.0,79.0,0,35,41
21,36,5.0,81.0,0,36,42
21,37,27.09090909090909,87.0909090909091,0,37,43
21,38,90.0,87.0,0,38,44
21,39,14.0,88.0,0,39,45
21,40,31.210526315789473,89.05263157894737,0,40,46
21,41,79.0,90.0,0,41,47
21,42,73.0,93.0,0,42,49
22,1,45.0,6.0,0,1,1
22,2,36.0,10.0,0,2,2
22,3,60.0,11.0,0,3,3
22,4,85.0,12.0,0,4,4
22,5,26.0,14.0,0,5,5
22,6,74.0,14.0,0,6,6
22,7,20.0,17.0,0,7,7
22,8,49.0,17.0,0,8,8
22,9,67.0,20.0,0,9,9
22,10,42.0,21.0,0,10,11
22,11,78.0,21.0,0,11,12
22,12,32.0,22.0,0,12,10
22,13,5.0,26.0,0,13,13
22,14,69.0,30.0,0,14,15
22,15,82.0,32.0,0,15,16
22,16,26.0,37.0,0,16,17
22,17,43.0,38.0,0,17,18
22,18,73.0,42.0,0,18,19
22,19,83.0,42.0,0,19,20
22,20,17.0,43.0,0,20,21
22,21,30.0,46.0,0,21,23
22,22,14.0,53.0,0,22,26
22,23,5.0,56.0,0,23,27
22,24,24.0,57.0,0,24,28
22,25,83.0,58.0,0,25,29
22,26,5.0,64.0,0,26,30
22,27,42.0,65.0,0,27,32
22,28,20.0,67.0,0,28,33
22,29,66.0,67.0,0,29,34
22,30,75.0,74.0,0,30,35
22,31,57.0,75.0,0,31,36
22,32,31.0,81.0,0,32,38
22,33,62.0,81.0,0,33,39
22,34,25.0,84.0,0,34,40
22,35,69.0,87.0,0,35,41
22,36,12.0,90.0,0,36,42
22,37,43.90909090909091,90.0909090909091,0,37,43
22,38,85.0,90.0,0,38,44
22,39,39.666666666666664,91.0,0,39,45
22,40,27.0,93.0,0,40,46
23,1,88.0,9.0,0,1,2
23,2,73.0,15.0,0,2,3
23,3,63.0,18.0,0,3,4
23,4,32.0,19.0,0,4,5
23,5,92.0,23.0,0,5,6
23,6,29.0,28.0,0,6,8
23,7,70.0,33.0,0,7,9
23,8,27.0,34.0,0,8,10
23,9,53.0,35.0,0,9,11
23,10,90.0,35.0,0,10,12
23,11,36.0,37.0,0,11,13
23,12,82.0,42.0,0,12,14
23,13,50.0,45.0,0,13,15
23,14,70.0,46.0,0,14,16
23,15,21.0,48.0,0,15,17
23,16,30.0,49.0,0,16,18
23,17,77.0,57.0,0,17,19
23,18,5.0,59.0,0,18,20
23,19,5.0,70.0,0,19,22
23,20,65.0,71.0,0,20,24
23,21,29.0,83.0,0,21,25
24,1,59.0,27.0,0,1,3
24,2,90.0,27.0,0,2,4
24,3,5.0,32.0,0,3,5
24,4,80.0,35.0,0,4,6
24,5,18.0,38.0,0,5,7
24,6,85.0,44.0,0,6,9
24,7,7.0,51.0,0,7,10
24,8,27.0,53.0,0,8,11
24,9,86.0,54.0,0,9,12
24,10,68.21052631578948,55.94736842105263,0,10,13
24,11,64.0909090909091,57.90909090909091,0,11,14
24,12,17.0,61.0,0,12,15
24,13,86.0,63.0,0,13,17
24,14,76.0,64.0,0,14,19
24,15,7.0,65.0,0,15,18
24,16,27.0,65.0,0,16,20
24,17,53.0,67.0,0,17,21
24,18,77.0,71.0,0,18,22
24,19,18.0,74.0,0,19,23
24,20,67.9090909090909,76.0909090909091,0,20,27
24,21,63.666666666666664,77.0,0,21,26
24,22,27.0,82.0,0,22,28
24,23,47.0,86.0,0,23,29
24,24,57.0,89.0,0,24,30
24,25,67.0,90.0,0,25,32
24,26,80.0,90.0,0,26,31
25,1,11.0,11.0,0,1,1
25,2,52.0,15.0,0,2,3
25,3,61.0,19.0,0,3,4
25,4,15.0,24.0,0,4,6
25,5,49.0,28.0,0,5,7
25,6,90.0,34.0,0,6,8
25,7,58.0,36.0,0,7,9
25,8,77.0,41.0,0,8,10
25,9,54.0,45.0,0,9,11
25,10,91.0,45.0,0,10,12
25,11,67.0,51.0,0,11,13
25,12,24.0,54.0,0,12,14
25,13,56.0,59.0,0,13,15
25,14,90.0,61.0,0,14,16
25,15,78.0,64.0,0,15,17
25,16,49.0,68.0,0,16,19
25,17,70.0,72.0,0,17,20
25,18,89.0,74.0,0,18,21
25,19,25.0,77.0,0,19,23
25,20,48.0,77.0,0,20,24
25,21,36.0,80.0,0,21,25
25,22,70.0,86.0,0,22,27
25,23,49.0,87.0,0,23,29
25,24,85.0,87.0,0,24,28
25,25,38.0,92.0,0,25,30
25,26,29.0,93.0,0,26,31
26,1,5.0,9.0,0,1,1
26,2,68.0,11.0,0,2,2
26,3,18.0,17.0,0,3,3
26,4,32.0,27.0,0,4,4
26,5,19.0,28.0,0,5,5
26,6,6.0,37.0,0,6,8
26,7,24.0,37.0,0,7,9
26,8,43.0,40.0,0,8,11
26,9,26.0,47.0,0,9,12
26,10,9.0,48.0,0,10,13
26,11,29.0,62.0,0,11,17
26,12,39.0,64.0,0,12,18
26,13,17.0,74.0,0,13,19
26,14,31.0,75.0,0,14,20
26,15,28.0,84.0,0,15,21
26,16,43.0,92.0,0,16,23
27,1,48.0,6.0,0,1,1
27,2,92.0,6.0,0,2,2
27,3,13.909090909090908,10.090909090909092,0,3,3
27,4,61.0,13.0,0,4,5
27,5,13.0,14.333333333333334,0,5,8
27,6,70.0,14.0,0,6,6
27,7,47.0,19.0,0,7,9
27,8,30.0,20.0,0,8,10
27,9,59.0,25.0,0,9,11
27,10,13.0,26.0,0,10,12
27,11,29.0,26.0,0,11,13
27,12,71.0,29.0,0,12,14
27,13,53.0,39.0,0,13,16
27,14,66.9090909090909,40.09090909090909,0,14,17
27,15,63.0,44.0,0,15,18
27,16,27.0,45.0,0,16,19
27,17,36.0,49.0,0,17,20
27,18,83.0,49.0,0,18,21
27,19,60.0,53.0,0,19,22
27,20,78.0,56.0,0,20,23
