ImageNumber,ObjectNumber,Children_DilateObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
4,2,1,82.9090909090909,9.909090909090908,0,2,2
4,3,1,15.642857142857142,18.857142857142858,0,3,3
4,4,1,82.0,31.5,0,4,6
4,5,1,41.82608695652174,32.95652173913044,0,5,7
4,6,1,57.208333333333336,35.708333333333336,0,6,9
4,7,1,63.5,47.5,0,7,13
4,8,1,73.5,56.22222222222222,0,8,16
4,9,1,28.333333333333332,66.0,0,9,19
4,10,1,34.5,73.77777777777777,0,10,21
4,11,1,10.80952380952381,78.04761904761905,0,11,22
4,12,1,21.77777777777778,82.5,0,12,23
4,13,1,38.833333333333336,92.08333333333333,0,13,27
5,1,1,8.666666666666666,5.888888888888889,0,1,1
5,2,1,19.45,11.8,0,2,2
5,3,1,14.5,14.0,0,3,3
5,4,1,68.5,13.5,0,4,4
5,5,1,7.2,19.68,0,5,5
5,6,1,23.466666666666665,19.866666666666667,0,6,6
5,7,1,53.21739130434783,24.608695652173914,0,7,8
5,8,1,89.5,25.272727272727273,0,8,9
5,9,1,13.466666666666667,27.666666666666668,0,9,10
5,10,1,21.842105263157894,29.842105263157894,0,10,11
5,11,1,35.09090909090909,35.09090909090909,0,11,12
5,12,1,10.0,38.5,0,12,14
5,13,1,47.166666666666664,40.111111111111114,0,13,15
5,14,1,81.5925925925926,41.74074074074074,0,14,16
5,15,1,21.666666666666668,53.208333333333336,0,15,17
5,16,1,84.5,53.0,0,16,18
5,17,1,11.411764705882353,57.11764705882353,0,17,20
5,18,1,39.89473684210526,68.57894736842105,0,18,22
5,19,1,59.578947368421055,69.10526315789474,0,19,23
5,20,1,29.5,71.5,0,20,24
5,21,1,45.09090909090909,81.9090909090909,0,21,29
5,22,1,34.05263157894737,82.84210526315789,0,22,30
5,23,1,11.1,86.3,0,23,32
5,24,1,34.0,92.0,0,24,34
5,25,1,44.5,91.5,0,25,35
6,1,1,34.5,6.0,0,1,1
6,2,1,13.142857142857142,8.928571428571429,0,2,2
6,3,1,7.111111111111111,11.666666666666666,0,3,3
6,4,1,49.12,11.56,0,4,4
6,5,1,65.5925925925926,12.407407407407407,0,5,5
6,6,1,83.25,13.4375,0,6,6
6,7,1,29.0,16.333333333333332,0,7,7
6,8,1,53.88235294117647,23.58823529411765,0,8,8
6,9,1,20.0,25.352941176470587,0,9,9
6,10,1,37.2,25.3,0,10,10
6,11,1,85.5,28.5,0,11,12
6,12,1,34.04761904761905,36.19047619047619,0,12,14
6,13,1,80.05,38.1,0,13,16
6,14,1,67.5,38.5,0,14,17
6,15,1,5.928571428571429,39.142857142857146,0,15,18
6,16,1,91.5,40.0,0,16,19
6,17,1,40.578947368421055,45.10526315789474,0,17,20
6,18,1,14.233333333333333,46.833333333333336,0,18,21
6,19,1,75.88888888888889,48.44444444444444,0,19,22
6,20,1,40.5,55.5,0,20,23
6,21,1,26.0625,62.15625,0,21,25
6,22,1,60.89473684210526,70.57894736842105,0,22,28
6,23,1,48.388888888888886,76.27777777777777,0,23,30
6,24,1,16.5,81.5,0,24,31
6,25,1,54.8125,82.9375,0,25,32
7,1,1,15.16,11.32,0,1,2
7,2,1,87.9090909090909,11.909090909090908,0,2,4
7,3,1,58.041666666666664,14.625,0,3,5
7,4,1,22.6,15.6,0,4,6
7,5,1,33.0,21.391304347826086,0,5,7
7,6,1,62.0,31.333333333333332,0,6,8
7,7,1,9.5,33.77777777777778,0,7,9
7,8,1,89.72727272727273,32.95454545454545,0,8,10
7,9,1,20.11111111111111,37.55555555555556,0,9,12
7,10,1,61.333333333333336,40.0,0,10,13
7,11,1,29.15,41.25,0,11,14
7,12,1,23.176470588235293,53.35294117647059,0,12,17
7,13,1,87.1,58.3,0,13,18
7,14,1,10.210526315789474,74.0,0,14,21
7,15,1,22.41176470588235,74.88235294117646,0,15,22
7,16,1,75.0,84.775,0,16,25
7,17,1,66.42105263157895,91.10526315789474,0,17,27
8,1,1,53.5,6.285714285714286,0,1,1
8,2,1,13.842105263157896,6.842105263157895,0,2,2
8,3,1,63.09090909090909,11.909090909090908,0,3,3
8,4,1,13.588235294117647,18.11764705882353,0,4,6
8,5,1,89.5,17.5,0,5,7
8,6,1,35.22222222222222,27.5,0,6,9
8,7,1,71.0,32.333333333333336,0,7,11
8,8,1,15.875,46.208333333333336,0,8,13
8,9,1,39.10526315789474,47.421052631578945,0,9,14
8,10,1,26.774193548387096,49.70967741935484,0,10,15
8,11,1,54.61904761904762,54.95238095238095,0,11,16
8,12,1,73.225,55.0,0,12,17
8,13,1,67.25,57.625,0,13,18
8,14,1,89.0,62.333333333333336,0,14,20
8,15,1,13.0,62.625,0,15,21
8,16,1,80.15789473684211,71.15789473684211,0,16,23
8,17,1,8.857142857142858,74.33333333333333,0,17,25
8,18,1,17.5,75.22222222222223,0,18,26
8,19,1,53.11764705882353,75.70588235294117,0,19,27
8,20,1,27.5,79.5,0,20,28
8,21,1,92.22222222222223,81.66666666666667,0,21,29
8,22,1,52.4,83.4,0,22,30
8,23,1,65.1,85.3,0,23,31
8,24,1,6.5,89.0,0,24,32
8,25,1,18.3125,89.53125,0,25,33
8,26,1,54.4375,91.625,0,26,34
8,27,1,74.41176470588235,91.29411764705883,0,27,35
9,1,1,65.08333333333333,5.75,0,1,1
9,2,1,5.928571428571429,11.142857142857142,0,2,2
9,3,1,48.333333333333336,36.666666666666664,0,3,5
9,4,1,54.08695652173913,40.47826086956522,0,4,7
9,5,1,42.3,50.1,0,5,9
9,6,1,59.0,57.0,0,6,10
9,7,1,10.5,64.22222222222223,0,7,12
9,8,1,64.17857142857143,71.21428571428571,0,8,14
9,9,1,75.89473684210526,75.78947368421052,0,9,16
9,10,1,87.5,76.0,0,10,17
9,11,1,49.0,80.6842105263158,0,11,18
9,12,1,82.8,89.44,0,12,19
9,13,1,35.4,90.6,0,13,20
9,14,1,67.66666666666667,92.11111111111111,0,14,21
10,1,1,68.0,6.5,0,1,1
10,2,1,29.944444444444443,10.833333333333334,0,2,2
10,3,1,88.42105263157895,16.894736842105264,0,3,3
10,4,1,63.869565217391305,19.695652173913043,0,4,4
10,5,1,16.285714285714285,20.5,0,5,5
10,6,1,48.75,23.9,0,6,6
10,7,1,91.05,35.25,0,7,7
10,8,1,53.888888888888886,38.72222222222222,0,8,8
10,9,1,84.73333333333333,54.666666666666664,0,9,9
10,10,1,16.555555555555557,62.388888888888886,0,10,10
10,11,1,58.411764705882355,63.11764705882353,0,11,11
10,12,1,29.58823529411765,66.11764705882354,0,12,12
10,13,1,6.888888888888889,74.27777777777777,0,13,13
10,14,1,92.5,77.5,0,14,14
10,15,1,86.5,89.5,0,15,15
11,1,1,37.32,8.32,0,1,1
11,2,1,23.05263157894737,13.210526315789474,0,2,2
11,3,1,49.625,13.75,0,3,3
11,4,1,68.11764705882354,19.41176470588235,0,4,4
11,5,1,33.25,30.5,0,5,5
11,6,1,10.357142857142858,31.785714285714285,0,6,6
11,7,1,60.22222222222222,31.5,0,7,7
11,8,1,49.0,34.5,0,8,8
11,9,1,19.764705882352942,39.76470588235294,0,9,9
11,10,1,91.41176470588235,39.88235294117647,0,10,10
11,11,1,44.421052631578945,67.89473684210526,0,11,13
11,12,1,32.11764705882353,79.58823529411765,0,12,14
11,13,1,63.5,85.0,0,13,15
11,14,1,10.421052631578947,86.89473684210526,0,14,16
12,1,1,74.33333333333333,5.933333333333334,0,1,1
12,2,1,10.88,15.52,0,2,2
12,3,1,32.76190476190476,17.785714285714285,0,3,3
12,4,1,45.793103448275865,22.79310344827586,0,4,6
12,5,1,52.5,24.5,0,5,7
12,6,1,14.181818181818182,30.545454545454547,0,6,8
12,7,1,74.66666666666667,36.23809523809524,0,7,10
12,8,1,86.3913043478261,38.08695652173913,0,8,11
12,9,1,51.5,48.96875,0,9,12
12,10,1,67.77777777777777,48.5,0,10,13
12,11,1,88.3157894736842,54.578947368421055,0,11,15
12,12,1,25.65,61.75,0,12,19
12,13,1,16.333333333333332,67.0,0,13,20
12,14,1,33.95,68.1,0,14,21
12,15,1,63.80952380952381,69.95238095238095,0,15,22
12,16,1,71.66666666666667,72.71428571428571,0,16,23
12,17,1,38.285714285714285,82.21428571428571,0,17,27
12,18,1,68.5,88.78571428571429,0,18,29
13,1,1,15.307692307692308,6.6923076923076925,0,1,2
13,2,1,18.5,9.5,0,2,3
13,3,1,54.88235294117647,9.588235294117647,0,3,4
13,4,1,85.41176470588235,13.882352941176471,0,4,6
13,5,1,48.22222222222222,14.5,0,5,7
13,6,1,5.8,15.5,0,6,8
13,7,1,57.90909090909091,25.09090909090909,0,7,10
13,8,1,69.43478260869566,26.391304347826086,0,8,11
13,9,1,13.37037037037037,28.666666666666668,0,9,12
13,10,1,90.78260869565217,34.30434782608695,0,10,15
13,11,1,57.25,38.25,0,11,17
13,12,1,15.117647058823529,59.411764705882355,0,12,21
13,13,1,58.09090909090909,59.90909090909091,0,13,22
13,14,1,33.5,60.72727272727273,0,14,23
13,15,1,40.5,72.77777777777777,0,15,25
13,16,1,31.0,84.0,0,16,28
13,17,1,13.294117647058824,89.70588235294117,0,17,29
13,18,1,24.12,90.92,0,18,30
13,19,1,64.44444444444444,90.5,0,19,31
14,1,1,74.8,12.08,0,1,1
14,2,1,47.4,14.6,0,2,2
14,3,1,63.08,22.6,0,3,3
14,4,1,9.11111111111111,26.51851851851852,0,4,5
14,5,1,85.3157894736842,28.42105263157895,0,5,6
14,6,1,37.95,35.1,0,6,7
14,7,1,66.5,36.77777777777778,0,7,9
14,8,1,17.666666666666668,39.7,0,8,10
14,9,1,47.95,47.4,0,9,13
14,10,1,25.714285714285715,53.80952380952381,0,10,14
14,11,1,12.166666666666666,54.541666666666664,0,11,15
14,12,1,42.5,55.22222222222222,0,12,16
14,13,1,69.75,60.45,0,13,17
14,14,1,45.5,64.5,0,14,18
14,15,1,72.0,71.0,0,15,20
14,16,1,65.5,77.72727272727273,0,16,23
14,17,1,40.14705882352941,85.76470588235294,0,17,25
15,1,1,37.25,6.458333333333333,0,1,1
15,2,1,47.53846153846154,12.153846153846153,0,2,4
15,3,1,23.681818181818183,16.636363636363637,0,3,5
15,4,1,6.333333333333333,20.0,0,4,6
15,5,1,83.42857142857143,25.61904761904762,0,5,7
15,6,1,74.9090909090909,31.09090909090909,0,6,8
15,7,1,63.5,32.0,0,7,9
15,8,1,85.42105263157895,36.10526315789474,0,8,11
15,9,1,42.22222222222222,38.5,0,9,12
15,10,1,33.90909090909091,43.09090909090909,0,10,14
15,11,1,32.5,66.5,0,11,16
15,12,1,26.42105263157895,74.10526315789474,0,12,18
16,1,1,72.83333333333333,6.277777777777778,0,1,2
16,2,1,39.95454545454545,12.954545454545455,0,2,3
16,3,1,5.846153846153846,16.0,0,3,4
16,4,1,84.0,19.38095238095238,0,4,5
16,5,1,71.6470588235294,21.529411764705884,0,5,6
16,6,1,37.375,32.25,0,6,7
16,7,1,46.5,33.5,0,7,8
16,8,1,30.46153846153846,49.80769230769231,0,8,11
16,9,1,81.8076923076923,55.38461538461539,0,9,12
16,10,1,92.0909090909091,55.63636363636363,0,10,13
16,11,1,63.5,57.0,0,11,14
16,12,1,18.5,59.5,0,12,15
16,13,1,51.0,64.0,0,13,16
16,14,1,16.19047619047619,69.14285714285714,0,14,17
16,15,1,38.5,70.5,0,15,18
16,16,1,32.7,74.05,0,16,19
16,17,1,46.95,78.9,0,17,20
16,18,1,24.5,84.0,0,18,21
16,19,1,62.0,86.0,0,19,22
16,20,1,30.5,86.66666666666667,0,20,23
16,21,1,23.5,92.0,0,21,24
17,1,1,16.129032258064516,7.838709677419355,0,1,1
17,2,1,57.5,9.5,0,2,3
17,3,1,28.647058823529413,18.529411764705884,0,3,5
17,4,1,47.5,24.363636363636363,0,4,6
17,5,1,81.95,27.3,0,5,7
17,6,1,20.470588235294116,29.352941176470587,0,6,8
17,7,1,77.875,32.375,0,7,9
17,8,1,41.89473684210526,34.578947368421055,0,8,10
17,9,1,15.882352941176471,42.588235294117645,0,9,13
17,10,1,76.0,52.0,0,10,14
17,11,1,45.421052631578945,53.89473684210526,0,11,15
17,12,1,36.09090909090909,54.90909090909091,0,12,16
17,13,1,25.5,68.0,0,13,18
17,14,1,62.851851851851855,71.4074074074074,0,14,19
17,15,1,37.5,73.22222222222223,0,15,20
17,16,1,6.882352941176471,79.41176470588235,0,16,23
17,17,1,12.652173913043478,86.30434782608695,0,17,25
17,18,1,78.88888888888889,87.72222222222223,0,18,26
18,1,1,80.5,6.0,0,1,1
18,2,1,51.77777777777778,8.5,0,2,3
18,3,1,25.5,15.0,0,3,5
18,4,1,37.0,20.5,0,4,6
18,5,1,52.09090909090909,21.045454545454547,0,5,7
18,6,1,46.0,22.0,0,6,8
18,7,1,67.5,24.5,0,7,9
18,8,1,5.375,27.0,0,8,10
18,9,1,91.375,32.25,0,9,11
18,10,1,62.4,36.25,0,10,13
18,11,1,39.411764705882355,38.11764705882353,0,11,14
18,12,1,88.48,44.72,0,12,15
18,13,1,16.894736842105264,47.421052631578945,0,13,16
18,14,1,77.73684210526316,47.63157894736842,0,14,17
18,15,1,6.266666666666667,50.333333333333336,0,15,18
18,16,1,24.615384615384617,51.46153846153846,0,16,19
18,17,1,49.6,52.6,0,17,20
18,18,1,37.88235294117647,57.411764705882355,0,18,21
18,19,1,60.5,56.77777777777778,0,19,22
18,20,1,19.5,58.0,0,20,23
18,21,1,69.57894736842105,58.10526315789474,0,21,24
18,22,1,82.0,57.5,0,22,25
18,23,1,31.42105263157895,65.10526315789474,0,23,26
18,24,1,42.1578947368421,65.84210526315789,0,24,27
18,25,1,53.578947368421055,65.89473684210526,0,25,28
18,26,1,76.5,72.5,0,26,30
18,27,1,87.0,75.6842105263158,0,27,31
18,28,1,92.5,78.375,0,28,32
18,29,1,56.588235294117645,83.11764705882354,0,29,33
18,30,1,35.64705882352941,85.52941176470588,0,30,34
18,31,1,19.38095238095238,88.57142857142857,0,31,35
18,32,1,6.5,89.0,0,32,36
18,33,1,82.11111111111111,90.05555555555556,0,33,37
18,34,1,42.36363636363637,92.0909090909091,0,34,38
18,35,1,61.05882352941177,91.76470588235294,0,35,39
18,36,1,91.5,92.2,0,36,40
18,37,1,53.0,92.5,0,37,41
19,1,1,62.27272727272727,5.454545454545454,0,1,1
19,2,1,26.5,6.0,0,2,3
19,3,1,75.0909090909091,8.909090909090908,0,3,4
19,4,1,35.4,9.4,0,4,5
19,5,1,43.65217391304348,10.521739130434783,0,5,6
19,6,1,59.333333333333336,14.0,0,6,7
19,7,1,10.0,16.5,0,7,8
19,8,1,43.0,21.5,0,8,11
19,9,1,34.90909090909091,25.09090909090909,0,9,13
19,10,1,6.1875,26.8125,0,10,14
19,11,1,19.666666666666668,27.714285714285715,0,11,15
19,12,1,49.72222222222222,29.833333333333332,0,12,16
19,13,1,14.368421052631579,35.21052631578947,0,13,17
19,14,1,34.8421052631579,34.8421052631579,0,14,18
19,15,1,75.5,37.5,0,15,19
19,16,1,45.27777777777778,40.388888888888886,0,16,20
19,17,1,31.789473684210527,44.94736842105263,0,17,21
19,18,1,91.6,45.4,0,18,22
19,19,1,60.5,47.714285714285715,0,19,23
19,20,1,76.95,48.9,0,20,24
19,21,1,51.0,52.5,0,21,25
19,22,1,43.6,56.5,0,22,26
19,23,1,26.82608695652174,57.08695652173913,0,23,27
19,24,1,68.76744186046511,56.395348837209305,0,24,28
19,25,1,50.54838709677419,64.51612903225806,0,25,29
19,26,1,82.88235294117646,65.41176470588235,0,26,30
19,27,1,54.30769230769231,66.92307692307692,0,27,31
19,28,1,72.70588235294117,68.47058823529412,0,28,34
19,29,1,64.0,70.5,0,29,35
19,30,1,59.18181818181818,73.63636363636364,0,30,36
19,31,1,79.27777777777777,75.88888888888889,0,31,37
19,32,1,6.0,77.5,0,32,38
19,33,1,71.33333333333333,82.0,0,33,40
19,34,1,62.72727272727273,88.5,0,34,42
19,35,1,81.83333333333333,91.27777777777777,0,35,43
19,36,1,87.68181818181819,92.0,0,36,44
20,1,1,85.19047619047619,8.095238095238095,0,1,2
20,2,1,14.764705882352942,15.117647058823529,0,2,3
20,3,1,65.5,15.5,0,3,4
20,4,1,90.58823529411765,21.88235294117647,0,4,5
20,5,1,46.32142857142857,25.428571428571427,0,5,6
20,6,1,34.1,28.95,0,6,8
20,7,1,55.2,29.5,0,7,9
20,8,1,64.23529411764706,30.41176470588235,0,8,10
20,9,1,10.4,33.6,0,9,11
20,10,1,56.041666666666664,35.791666666666664,0,10,13
20,11,1,37.0,36.5,0,11,14
20,12,1,25.333333333333332,37.875,0,12,15
20,13,1,8.625,40.1875,0,13,17
20,14,1,83.5,46.5,0,14,21
20,15,1,15.037037037037036,48.074074074074076,0,15,22
20,16,1,47.10526315789474,47.578947368421055,0,16,23
20,17,1,8.741935483870968,52.70967741935484,0,17,24
20,18,1,38.5,53.714285714285715,0,18,25
20,19,1,47.21739130434783,60.130434782608695,0,19,26
20,20,1,58.833333333333336,59.93333333333333,0,20,27
20,21,1,30.444444444444443,60.5,0,21,28
20,22,1,22.5625,70.75,0,22,30
20,23,1,69.77777777777777,72.5,0,23,31
20,24,1,9.772727272727273,73.9090909090909,0,24,32
20,25,1,91.15625,73.8125,0,25,33
20,26,1,91.5,87.5,0,26,35
20,27,1,71.0909090909091,91.36363636363636,0,27,36
20,28,1,54.22222222222222,92.55555555555556,0,28,37
21,1,1,14.5,7.5,0,1,1
21,2,1,87.9090909090909,8.090909090909092,0,2,2
21,3,1,6.785714285714286,11.642857142857142,0,3,3
21,4,1,45.7,14.6,0,4,4
21,5,1,57.61904761904762,14.0,0,5,5
21,6,1,84.54545454545455,19.40909090909091,0,6,6
21,7,1,7.533333333333333,22.6,0,7,7
21,8,1,51.421052631578945,22.105263157894736,0,8,8
21,9,1,25.95,23.9,0,9,9
21,10,1,12.7,26.3,0,10,10
21,11,1,82.41176470588235,28.11764705882353,0,11,11
21,12,1,21.416666666666668,28.75,0,12,12
21,13,1,67.44444444444444,29.72222222222222,0,13,13
21,14,1,39.88235294117647,36.588235294117645,0,14,14
21,15,1,82.0,35.5,0,15,15
21,16,1,10.428571428571429,36.61904761904762,0,16,16
21,17,1,92.55555555555556,43.22222222222222,0,17,17
21,18,1,45.375,43.9375,0,18,18
21,19,1,12.8125,50.0,0,19,19
21,20,1,44.888888888888886,53.333333333333336,0,20,21
21,21,1,7.4,56.4,0,21,22
21,22,1,72.5,58.5,0,22,23
21,23,1,61.5,59.5,0,23,24
21,24,1,44.72222222222222,64.61111111111111,0,24,25
21,25,1,86.91304347826087,65.43478260869566,0,25,26
21,26,1,52.5,65.77777777777777,0,26,27
21,27,1,61.95454545454545,67.9090909090909,0,27,28
21,28,1,20.294117647058822,70.94117647058823,0,28,29
21,29,1,20.157894736842106,74.73684210526316,0,29,30
21,30,1,67.7,76.25,0,30,31
21,31,1,37.10526315789474,78.57894736842105,0,31,33
21,32,1,5.846153846153846,81.0,0,32,34
21,33,1,27.333333333333332,86.25,0,33,35
21,34,1,90.5,86.22222222222223,0,34,36
21,35,1,14.80952380952381,87.9047619047619,0,35,37
21,36,1,31.458333333333332,89.04166666666667,0,36,38
21,37,1,74.3076923076923,92.0,0,37,39
22,1,1,45.833333333333336,5.916666666666667,0,1,1
22,2,1,89.66666666666667,5.777777777777778,0,2,2
22,3,1,37.5,10.222222222222221,0,3,3
22,4,1,61.035714285714285,10.714285714285714,0,4,4
22,5,1,85.61904761904762,11.952380952380953,0,5,5
22,6,1,74.5,14.5,0,6,7
22,7,1,20.535714285714285,17.392857142857142,0,7,8
22,8,1,50.5,17.5,0,8,9
22,9,1,67.95,19.75,0,9,10
22,10,1,32.88235294117647,21.58823529411765,0,10,11
22,11,1,43.10526315789474,20.57894736842105,0,11,12
22,12,1,78.5,21.2,0,12,13
22,13,1,5.5,25.5,0,13,14
22,14,1,69.71428571428571,30.642857142857142,0,14,16
22,15,1,26.4,37.4,0,15,18
22,16,1,84.43478260869566,42.130434782608695,0,16,20
22,17,1,31.11111111111111,45.81481481481482,0,17,23
22,18,1,15.210526315789474,52.94736842105263,0,18,24
22,19,1,5.75,55.375,0,19,25
22,20,1,24.5,57.285714285714285,0,20,26
22,21,1,83.5,58.5,0,21,27
22,22,1,11.102564102564102,64.92307692307692,0,22,28
22,23,1,43.0,65.3529411764706,0,23,29
22,24,1,21.41176470588235,66.3529411764706,0,24,30
22,25,1,67.4375,67.125,0,25,31
22,26,1,75.5,74.0,0,26,32
22,27,1,58.666666666666664,75.46666666666667,0,27,33
22,28,1,32.07692307692308,80.84615384615384,0,28,35
22,29,1,63.357142857142854,81.28571428571429,0,29,36
22,30,1,69.78260869565217,86.95652173913044,0,30,38
22,31,1,41.87096774193548,90.48387096774194,0,31,41
22,32,1,28.0,92.5,0,32,42
23,1,1,88.44,8.92,0,1,1
23,2,1,73.42307692307692,15.846153846153847,0,2,2
23,3,1,64.47368421052632,18.105263157894736,0,3,3
23,4,1,92.07142857142857,23.142857142857142,0,4,5
23,5,1,29.58823529411765,27.88235294117647,0,5,6
23,6,1,71.0,33.0,0,6,7
23,7,1,54.5,34.63636363636363,0,7,9
23,8,1,91.5,35.5,0,8,10
23,9,1,36.5,37.0,0,9,11
23,10,1,83.08333333333333,42.083333333333336,0,10,12
23,11,1,50.64705882352941,45.470588235294116,0,11,13
23,12,1,71.04761904761905,46.19047619047619,0,12,14
23,13,1,21.75,47.95,0,13,15
23,14,1,78.11764705882354,56.588235294117645,0,14,16
23,15,1,5.5,69.5,0,15,19
23,16,1,65.5,70.5,0,16,20
23,17,1,30.25,83.25,0,17,21
24,1,1,59.64705882352941,26.529411764705884,0,1,1
24,2,1,90.9,27.3,0,2,2
24,3,1,18.77777777777778,37.611111111111114,0,3,5
24,4,1,86.15,43.7,0,4,6
24,5,1,8.5,50.5,0,5,7
24,6,1,28.11764705882353,53.588235294117645,0,6,8
24,7,1,87.10526315789474,53.578947368421055,0,7,9
24,8,1,68.9090909090909,55.81818181818182,0,8,10
24,9,1,17.944444444444443,60.888888888888886,0,9,12
24,10,1,86.5,62.5,0,10,14
24,11,1,76.42105263157895,63.89473684210526,0,11,15
24,12,1,27.58823529411765,65.11764705882354,0,12,16
24,13,1,54.333333333333336,66.33333333333333,0,13,17
24,14,1,19.5,73.5,0,14,19
24,15,1,28.333333333333332,82.125,0,15,22
24,16,1,47.714285714285715,85.38095238095238,0,16,23
24,17,1,57.36842105263158,89.05263157894737,0,17,24
24,18,1,80.94117647058823,89.76470588235294,0,18,25
25,1,1,52.95,14.75,0,1,2
25,2,1,61.85,19.25,0,2,3
25,3,1,21.058823529411764,21.58823529411765,0,3,4
25,4,1,16.166666666666668,23.458333333333332,0,4,5
25,5,1,49.95,28.75,0,5,6
25,6,1,19.0,31.0,0,6,7
25,7,1,59.4,35.5,0,7,9
25,8,1,78.10526315789474,40.578947368421055,0,8,10
25,9,1,54.8421052631579,45.1578947368421,0,9,11
25,10,1,91.25,44.95,0,10,12
25,11,1,67.33333333333333,50.625,0,11,13
25,12,1,25.19047619047619,54.142857142857146,0,12,14
25,13,1,56.7,58.75,0,13,15
25,14,1,49.8421052631579,68.15789473684211,0,14,18
25,15,1,89.47619047619048,73.14285714285714,0,15,20
25,16,1,26.5,76.72727272727273,0,16,21
25,17,1,49.0,77.33333333333333,0,17,22
25,18,1,37.5,79.5,0,18,23
25,19,1,50.333333333333336,87.0,0,19,25
25,20,1,39.0,91.0,0,20,27
26,1,1,5.875,8.5,0,1,1
26,2,1,18.42105263157895,17.105263157894736,0,2,3
26,3,1,32.82608695652174,27.0,0,3,4
26,4,1,19.6,27.6,0,4,5
26,5,1,24.82608695652174,37.0,0,5,7
26,6,1,44.0,40.291666666666664,0,6,8
26,7,1,26.82608695652174,47.0,0,7,9
26,8,1,9.5,48.22222222222222,0,8,10
26,9,1,29.9,61.95,0,9,11
26,10,1,40.5,64.0,0,10,12
26,11,1,31.9,75.05,0,11,14
26,12,1,28.863636363636363,84.13636363636364,0,12,16
27,1,1,61.7,13.1,0,1,2
27,2,1,71.30434782608695,13.695652173913043,0,2,3
27,3,1,14.5,14.6,0,3,4
27,4,1,48.75,18.95,0,4,5
27,5,1,30.76,20.6,0,5,6
27,6,1,60.27777777777778,25.166666666666668,0,6,7
27,7,1,13.947368421052632,26.31578947368421,0,7,8
27,8,1,30.333333333333332,26.19047619047619,0,8,9
27,9,1,71.58823529411765,28.88235294117647,0,9,10
27,10,1,54.25,39.15,0,10,11
